Month,Edits,IPs,IPs ,Minor edits,Minor edits 
2015-06,1,0,0,0,0
2015-07,1,1,100,0,0
2015-08,1,0,0,0,0
2015-09,1,1,100,0,0
2015-10,0,0,0,0,0
2015-11,2,0,0,1,50
2015-12,10,0,0,4,40
2016-01,0,0,0,0,0
2016-02,1,0,0,1,100
2016-03,3,0,0,2,66.7
2016-04,3,0,0,0,0
2016-05,3,0,0,3,100
2016-06,1,1,100,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,8,4,50,1,12.5
2016-10,0,0,0,0,0
2016-11,2,1,50,0,0
2016-12,1,0,0,1,100
2017-01,1,0,0,1,100
2017-02,0,0,0,0,0
2017-03,3,1,33.3,1,33.3
2017-04,2,0,0,0,0
2017-05,2,0,0,0,0
2017-06,3,0,0,1,33.3
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,4,0,0,2,50
2017-10,0,0,0,0,0
2017-11,1,1,100,0,0
2017-12,3,2,66.7,1,33.3
2018-01,0,0,0,0,0
2018-02,1,0,0,0,0
2018-03,2,0,0,1,50
2018-04,1,0,0,1,100
2018-05,1,0,0,1,100
2018-06,0,0,0,0,0
2018-07,0,0,0,0,0
2018-08,4,2,50,1,25
2018-09,1,0,0,0,0
2018-10,0,0,0,0,0
2018-11,1,0,0,0,0
2018-12,3,2,66.7,1,33.3
2019-01,1,0,0,0,0
2019-02,1,0,0,1,100
2019-03,2,2,100,0,0
2019-04,0,0,0,0,0
2019-05,0,0,0,0,0
2019-06,3,2,66.7,0,0
2019-07,1,0,0,1,100
2019-08,2,0,0,1,50
2019-09,0,0,0,0,0
2019-10,0,0,0,0,0
2019-11,2,0,0,2,100
2019-12,2,0,0,1,50
2020-01,1,1,100,0,0
2020-02,0,0,0,0,0
2020-03,5,1,20,3,60
2020-04,2,0,0,1,50
2020-05,0,0,0,0,0
2020-06,1,0,0,0,0
2020-07,2,0,0,2,100
2020-08,5,1,20,2,40
2020-09,2,0,0,1,50
2020-10,2,0,0,1,50
2020-11,1,0,0,1,100
2020-12,3,0,0,3,100
2021-01,1,0,0,1,100
2021-02,4,0,0,2,50
2021-03,1,0,0,0,0
2021-04,2,0,0,0,0
2021-05,8,0,0,5,62.5
2021-06,15,0,0,5,33.3
2021-07,23,2,8.7,3,13
2021-08,22,0,0,2,9.1
2021-09,16,1,6.2,9,56.2
2021-10,97,4,4.1,18,18.6
2021-11,19,2,10.5,2,10.5
2021-12,53,1,1.9,17,32.1
2022-01,87,0,0,31,35.6
2022-02,192,4,2.1,26,13.5
2022-03,26,2,7.7,6,23.1
