"DateTime","Embodied cognition[en]","Cognitive science[en]","Mind[en]","Cognition[en]"
"2008-06-07 00:00:00",21,473,598,1140
"2008-06-08 00:00:00",16,544,669,1432
"2008-06-09 00:00:00",31,722,823,2022
"2008-06-10 00:00:00",20,794,888,2120
"2008-06-11 00:00:00",29,725,906,2066
"2008-06-12 00:00:00",40,757,933,2043
"2008-06-13 00:00:00",24,714,757,1604
"2008-06-14 00:00:00",16,482,696,1233
"2008-06-15 00:00:00",22,609,772,1510
"2008-06-16 00:00:00",20,730,896,2201
"2008-06-17 00:00:00",27,793,945,2279
"2008-06-18 00:00:00",20,891,877,2034
"2008-06-19 00:00:00",25,742,917,1996
"2008-06-20 00:00:00",42,655,801,1702
"2008-06-21 00:00:00",36,531,615,1244
"2008-06-22 00:00:00",18,531,675,1303
"2008-06-23 00:00:00",21,804,865,1920
"2008-06-24 00:00:00",26,862,789,2034
"2008-06-25 00:00:00",24,755,845,1972
"2008-06-26 00:00:00",21,744,889,1864
"2008-06-27 00:00:00",26,609,636,1513
"2008-06-28 00:00:00",16,432,635,1087
"2008-06-29 00:00:00",18,549,612,1311
"2008-06-30 00:00:00",20,680,844,1394
"2008-07-01 00:00:00",22,780,1517,1030
"2008-07-02 00:00:00",24,741,783,1519
"2008-07-03 00:00:00",20,742,827,1643
"2008-07-04 00:00:00",17,611,679,935
"2008-07-05 00:00:00",14,463,540,930
"2008-07-06 00:00:00",21,541,595,1239
"2008-07-07 00:00:00",20,801,788,1810
"2008-07-08 00:00:00",24,656,755,1772
"2008-07-09 00:00:00",10,698,782,1688
"2008-07-10 00:00:00",12,696,740,1600
"2008-07-11 00:00:00",28,527,655,1491
"2008-07-12 00:00:00",23,442,605,1033
"2008-07-13 00:00:00",23,441,645,1197
"2008-07-14 00:00:00",25,671,683,1760
"2008-07-15 00:00:00",11,607,755,1787
"2008-07-16 00:00:00",19,624,669,1780
"2008-07-17 00:00:00",20,583,819,1674
"2008-07-18 00:00:00",17,582,664,1547
"2008-07-19 00:00:00",14,383,567,1157
"2008-07-20 00:00:00",23,472,571,1152
"2008-07-21 00:00:00",30,704,741,1642
"2008-07-22 00:00:00",17,674,795,1845
"2008-07-23 00:00:00",19,722,775,2012
"2008-07-24 00:00:00",17,605,737,1863
"2008-07-25 00:00:00",31,581,679,1534
"2008-07-26 00:00:00",9,443,649,1076
"2008-07-27 00:00:00",13,516,669,1212
"2008-07-28 00:00:00",34,708,763,1775
"2008-07-29 00:00:00",32,755,813,1973
"2008-07-30 00:00:00",34,607,782,2053
"2008-07-31 00:00:00",25,612,742,1872
"2008-08-01 00:00:00",18,553,762,1411
"2008-08-02 00:00:00",24,569,719,1162
"2008-08-03 00:00:00",6,499,688,1148
"2008-08-04 00:00:00",33,571,797,1627
"2008-08-05 00:00:00",19,716,813,1804
"2008-08-06 00:00:00",23,628,785,1632
"2008-08-07 00:00:00",20,671,770,1778
"2008-08-08 00:00:00",19,545,670,1448
"2008-08-09 00:00:00",19,408,626,986
"2008-08-10 00:00:00",21,513,705,469
"2008-08-11 00:00:00",15,670,744,782
"2008-08-12 00:00:00",28,622,695,801
"2008-08-13 00:00:00",17,675,721,908
"2008-08-14 00:00:00",24,569,705,855
"2008-08-15 00:00:00",26,538,570,1283
"2008-08-16 00:00:00",24,437,544,1039
"2008-08-17 00:00:00",22,486,600,1195
"2008-08-18 00:00:00",43,697,715,1867
"2008-08-19 00:00:00",31,738,755,1784
"2008-08-20 00:00:00",24,625,753,1467
"2008-08-21 00:00:00",27,644,842,1812
"2008-08-22 00:00:00",32,618,763,1642
"2008-08-23 00:00:00",23,436,619,1095
"2008-08-24 00:00:00",33,484,592,1317
"2008-08-25 00:00:00",41,710,857,1974
"2008-08-26 00:00:00",43,717,923,2175
"2008-08-27 00:00:00",19,715,916,2295
"2008-08-28 00:00:00",20,788,833,2256
"2008-08-29 00:00:00",15,685,687,1948
"2008-08-30 00:00:00",16,533,606,1343
"2008-08-31 00:00:00",20,570,655,1284
"2008-09-01 00:00:00",30,714,729,944
"2008-09-02 00:00:00",63,768,774,1128
"2008-09-03 00:00:00",21,804,787,991
"2008-09-04 00:00:00",18,841,884,2061
"2008-09-05 00:00:00",112,629,801,2162
"2008-09-06 00:00:00",28,533,683,1471
"2008-09-07 00:00:00",33,588,751,1997
"2008-09-08 00:00:00",32,802,874,2936
"2008-09-09 00:00:00",19,849,989,2803
"2008-09-10 00:00:00",30,785,1001,3005
"2008-09-11 00:00:00",38,781,884,2989
"2008-09-12 00:00:00",35,603,827,2273
"2008-09-13 00:00:00",48,509,620,1595
"2008-09-14 00:00:00",40,606,665,2190
"2008-09-15 00:00:00",54,785,911,2971
"2008-09-16 00:00:00",44,806,851,3096
"2008-09-17 00:00:00",40,762,892,2770
"2008-09-18 00:00:00",53,801,893,1661
"2008-09-19 00:00:00",31,684,868,1079
"2008-09-20 00:00:00",35,503,664,820
"2008-09-21 00:00:00",55,665,715,1320
"2008-09-22 00:00:00",51,847,983,1398
"2008-09-23 00:00:00",45,878,966,1415
"2008-09-24 00:00:00",49,840,918,2147
"2008-09-25 00:00:00",32,797,894,1762
"2008-09-26 00:00:00",41,653,777,1079
"2008-09-27 00:00:00",30,464,606,786
"2008-09-28 00:00:00",39,594,768,854
"2008-09-29 00:00:00",35,819,906,1213
"2008-09-30 00:00:00",57,729,846,2089
"2008-10-01 00:00:00",67,790,883,2775
"2008-10-02 00:00:00",55,783,800,2783
"2008-10-03 00:00:00",60,699,796,1781
"2008-10-04 00:00:00",52,552,657,766
"2008-10-05 00:00:00",41,625,720,851
"2008-10-06 00:00:00",227,876,925,1278
"2008-10-07 00:00:00",51,777,977,1432
"2008-10-08 00:00:00",44,721,909,1197
"2008-10-09 00:00:00",56,845,825,1036
"2008-10-10 00:00:00",53,666,824,803
"2008-10-11 00:00:00",26,612,676,651
"2008-10-12 00:00:00",38,721,731,1409
"2008-10-13 00:00:00",76,922,976,2669
"2008-10-14 00:00:00",68,889,985,2693
"2008-10-15 00:00:00",43,825,967,2950
"2008-10-16 00:00:00",67,749,970,2865
"2008-10-17 00:00:00",63,738,759,1748
"2008-10-18 00:00:00",39,622,650,708
"2008-10-19 00:00:00",51,784,783,857
"2008-10-20 00:00:00",63,827,888,1129
"2008-10-21 00:00:00",22,362,444,500
"2008-10-22 00:00:00",37,425,511,581
"2008-10-23 00:00:00",42,742,912,1134
"2008-10-24 00:00:00",45,731,745,1363
"2008-10-25 00:00:00",44,571,767,1553
"2008-10-26 00:00:00",43,680,760,1979
"2008-10-27 00:00:00",60,796,1087,2994
"2008-10-28 00:00:00",47,854,879,3063
"2008-10-29 00:00:00",64,920,959,2849
"2008-10-30 00:00:00",55,757,889,2778
"2008-10-31 00:00:00",41,672,868,2147
"2008-11-01 00:00:00",28,525,688,1531
"2008-11-02 00:00:00",44,690,817,1920
"2008-11-03 00:00:00",62,853,938,3030
"2008-11-04 00:00:00",57,800,994,2898
"2008-11-05 00:00:00",51,659,830,2585
"2008-11-06 00:00:00",65,773,961,2838
"2008-11-07 00:00:00",41,745,863,2374
"2008-11-08 00:00:00",67,639,729,1694
"2008-11-09 00:00:00",56,682,738,1989
"2008-11-10 00:00:00",75,788,928,2809
"2008-11-11 00:00:00",72,802,931,2683
"2008-11-12 00:00:00",93,850,908,2981
"2008-11-13 00:00:00",68,791,952,2525
"2008-11-14 00:00:00",106,674,860,1786
"2008-11-15 00:00:00",62,613,727,750
"2008-11-16 00:00:00",55,736,834,858
"2008-11-17 00:00:00",67,924,1064,1080
"2008-11-18 00:00:00",80,831,832,1867
"2008-11-19 00:00:00",53,806,983,2272
"2008-11-20 00:00:00",52,793,930,2095
"2008-11-21 00:00:00",66,702,788,1879
"2008-11-22 00:00:00",43,600,734,1272
"2008-11-23 00:00:00",63,797,763,1607
"2008-11-24 00:00:00",79,875,950,2436
"2008-11-25 00:00:00",66,799,1048,1820
"2008-11-26 00:00:00",68,775,880,807
"2008-11-27 00:00:00",72,695,736,720
"2008-11-28 00:00:00",62,690,717,807
"2008-11-29 00:00:00",54,700,661,746
"2008-11-30 00:00:00",69,762,750,954
"2008-12-01 00:00:00",68,841,931,1171
"2008-12-02 00:00:00",55,860,894,1269
"2008-12-03 00:00:00",93,898,922,2187
"2008-12-04 00:00:00",98,770,861,2789
"2008-12-05 00:00:00",53,782,917,2133
"2008-12-06 00:00:00",54,597,699,1635
"2008-12-07 00:00:00",52,676,702,1795
"2008-12-08 00:00:00",62,830,849,2597
"2008-12-09 00:00:00",112,791,903,2559
"2008-12-10 00:00:00",64,777,892,1296
"2008-12-11 00:00:00",62,831,891,937
"2008-12-12 00:00:00",76,720,796,1922
"2008-12-13 00:00:00",60,611,676,1453
"2008-12-14 00:00:00",64,652,725,1653
"2008-12-15 00:00:00",73,740,824,2313
"2008-12-16 00:00:00",64,703,883,2412
"2008-12-17 00:00:00",60,695,811,2186
"2008-12-18 00:00:00",59,689,830,1998
"2008-12-19 00:00:00",65,541,737,1574
"2008-12-20 00:00:00",28,489,648,947
"2008-12-21 00:00:00",27,493,626,1112
"2008-12-22 00:00:00",40,591,712,1303
"2008-12-23 00:00:00",32,617,709,1264
"2008-12-24 00:00:00",18,483,606,988
"2008-12-25 00:00:00",34,379,485,726
"2008-12-26 00:00:00",18,460,560,825
"2008-12-27 00:00:00",20,523,599,859
"2008-12-28 00:00:00",22,441,573,1018
"2008-12-29 00:00:00",31,609,684,1200
"2008-12-30 00:00:00",57,549,727,1157
"2008-12-31 00:00:00",18,536,660,1126
"2009-01-01 00:00:00",35,363,551,800
"2009-01-02 00:00:00",56,542,689,1283
"2009-01-03 00:00:00",41,454,745,1280
"2009-01-04 00:00:00",43,437,778,1463
"2009-01-05 00:00:00",66,714,841,1805
"2009-01-06 00:00:00",38,726,848,1817
"2009-01-07 00:00:00",72,713,890,1999
"2009-01-08 00:00:00",57,701,818,2237
"2009-01-09 00:00:00",52,714,873,1747
"2009-01-10 00:00:00",39,559,681,1520
"2009-01-11 00:00:00",52,606,846,1902
"2009-01-12 00:00:00",56,793,922,2576
"2009-01-13 00:00:00",83,839,972,2577
"2009-01-14 00:00:00",59,767,921,2508
"2009-01-15 00:00:00",58,806,1031,2492
"2009-01-16 00:00:00",53,728,864,2256
"2009-01-17 00:00:00",45,601,678,1557
"2009-01-18 00:00:00",69,636,860,1861
"2009-01-19 00:00:00",89,773,907,2518
"2009-01-20 00:00:00",130,727,992,2791
"2009-01-21 00:00:00",50,879,989,2701
"2009-01-22 00:00:00",51,787,984,2811
"2009-01-23 00:00:00",60,749,882,2311
"2009-01-24 00:00:00",42,625,771,1659
"2009-01-25 00:00:00",69,616,814,1878
"2009-01-26 00:00:00",71,736,992,2606
"2009-01-27 00:00:00",53,865,1082,2814
"2009-01-28 00:00:00",91,887,1019,2821
"2009-01-29 00:00:00",76,816,1038,2944
"2009-01-30 00:00:00",46,738,940,2431
"2009-01-31 00:00:00",57,474,815,1729
"2009-02-01 00:00:00",63,714,954,2079
"2009-02-02 00:00:00",65,817,912,2740
"2009-02-03 00:00:00",94,787,1051,2836
"2009-02-04 00:00:00",61,845,989,2831
"2009-02-05 00:00:00",71,802,975,1716
"2009-02-06 00:00:00",57,786,935,1190
"2009-02-07 00:00:00",44,606,742,940
"2009-02-08 00:00:00",60,676,813,854
"2009-02-09 00:00:00",63,825,1041,1029
"2009-02-10 00:00:00",64,927,1022,1075
"2009-02-11 00:00:00",75,943,1012,1096
"2009-02-12 00:00:00",88,792,1091,952
"2009-02-13 00:00:00",75,744,982,819
"2009-02-14 00:00:00",64,567,816,628
"2009-02-15 00:00:00",72,617,813,1032
"2009-02-16 00:00:00",63,805,1034,2692
"2009-02-17 00:00:00",81,864,1077,3022
"2009-02-18 00:00:00",77,892,1002,2200
"2009-02-19 00:00:00",70,849,914,1371
"2009-02-20 00:00:00",76,728,956,1266
"2009-02-21 00:00:00",62,633,802,934
"2009-02-22 00:00:00",64,681,918,939
"2009-02-23 00:00:00",125,882,1138,978
"2009-02-24 00:00:00",93,936,1068,1038
"2009-02-25 00:00:00",92,901,1045,1065
"2009-02-26 00:00:00",137,840,983,1024
"2009-02-27 00:00:00",108,748,998,955
"2009-02-28 00:00:00",61,667,773,742
"2009-03-01 00:00:00",85,679,900,787
"2009-03-02 00:00:00",138,906,1050,1051
"2009-03-03 00:00:00",105,844,1102,1038
"2009-03-04 00:00:00",114,912,1036,1038
"2009-03-05 00:00:00",74,874,977,1011
"2009-03-06 00:00:00",71,801,979,932
"2009-03-07 00:00:00",69,617,882,701
"2009-03-08 00:00:00",64,632,805,1590
"2009-03-09 00:00:00",93,827,1049,3092
"2009-03-10 00:00:00",95,981,989,2810
"2009-03-11 00:00:00",119,903,1034,3196
"2009-03-12 00:00:00",94,795,1037,2741
"2009-03-13 00:00:00",88,845,1029,2287
"2009-03-14 00:00:00",73,643,924,1845
"2009-03-15 00:00:00",71,694,974,2102
"2009-03-16 00:00:00",127,879,1131,2911
"2009-03-17 00:00:00",82,906,1093,2867
"2009-03-18 00:00:00",94,841,1015,2850
"2009-03-19 00:00:00",86,798,959,2708
"2009-03-20 00:00:00",92,769,896,2179
"2009-03-21 00:00:00",62,674,734,1507
"2009-03-22 00:00:00",68,658,859,1856
"2009-03-23 00:00:00",88,868,1022,2703
"2009-03-24 00:00:00",80,884,973,2978
"2009-03-25 00:00:00",101,739,938,2281
"2009-03-26 00:00:00",79,757,954,2490
"2009-03-27 00:00:00",88,767,826,2377
"2009-03-28 00:00:00",68,572,870,1679
"2009-03-29 00:00:00",58,695,831,2091
"2009-03-30 00:00:00",122,859,1021,2779
"2009-03-31 00:00:00",74,826,881,2832
"2009-04-01 00:00:00",71,774,987,2287
"2009-04-02 00:00:00",113,846,991,2797
"2009-04-03 00:00:00",69,709,947,2177
"2009-04-04 00:00:00",63,595,713,1675
"2009-04-05 00:00:00",44,588,802,1800
"2009-04-06 00:00:00",124,785,886,2672
"2009-04-07 00:00:00",65,790,971,2711
"2009-04-08 00:00:00",84,836,954,2762
"2009-04-09 00:00:00",75,748,893,2404
"2009-04-10 00:00:00",54,594,788,1770
"2009-04-11 00:00:00",51,566,735,1473
"2009-04-12 00:00:00",69,541,720,1577
"2009-04-13 00:00:00",82,826,1012,2469
"2009-04-14 00:00:00",101,859,1049,2867
"2009-04-15 00:00:00",97,886,984,2768
"2009-04-16 00:00:00",68,817,873,2724
"2009-04-17 00:00:00",73,688,898,2266
"2009-04-18 00:00:00",69,570,680,1640
"2009-04-19 00:00:00",66,652,781,1880
"2009-04-20 00:00:00",108,733,857,2641
"2009-04-21 00:00:00",84,794,907,2763
"2009-04-22 00:00:00",90,754,916,2463
"2009-04-23 00:00:00",147,748,912,2835
"2009-04-24 00:00:00",108,668,883,2177
"2009-04-25 00:00:00",90,603,665,1721
"2009-04-26 00:00:00",119,610,756,2027
"2009-04-27 00:00:00",147,748,922,2781
"2009-04-28 00:00:00",121,761,999,2528
"2009-04-29 00:00:00",114,721,891,2780
"2009-04-30 00:00:00",124,788,895,2589
"2009-05-01 00:00:00",84,625,790,2112
"2009-05-02 00:00:00",82,509,766,1791
"2009-05-03 00:00:00",89,561,855,1968
"2009-05-04 00:00:00",164,857,891,2732
"2009-05-05 00:00:00",128,756,966,2852
"2009-05-06 00:00:00",114,830,936,2726
"2009-05-07 00:00:00",96,760,980,2618
"2009-05-08 00:00:00",80,734,908,2176
"2009-05-09 00:00:00",75,553,734,1676
"2009-05-10 00:00:00",81,580,804,1974
"2009-05-11 00:00:00",124,836,992,2873
"2009-05-12 00:00:00",105,882,896,3090
"2009-05-13 00:00:00",120,763,1085,2952
"2009-05-14 00:00:00",91,764,912,2811
"2009-05-15 00:00:00",101,707,858,2269
"2009-05-16 00:00:00",60,563,700,1625
"2009-05-17 00:00:00",67,700,761,1828
"2009-05-18 00:00:00",96,702,1031,2571
"2009-05-19 00:00:00",115,738,1030,2725
"2009-05-20 00:00:00",90,724,1061,2494
"2009-05-21 00:00:00",86,739,963,2511
"2009-05-22 00:00:00",89,708,805,1897
"2009-05-23 00:00:00",78,509,714,1377
"2009-05-24 00:00:00",89,570,739,1469
"2009-05-25 00:00:00",103,712,883,2013
"2009-05-26 00:00:00",118,849,938,2437
"2009-05-27 00:00:00",73,735,988,2336
"2009-05-28 00:00:00",83,821,949,2477
"2009-05-29 00:00:00",63,669,882,1836
"2009-05-30 00:00:00",61,555,682,1340
"2009-05-31 00:00:00",83,599,708,1621
"2009-06-01 00:00:00",92,789,898,2203
"2009-06-02 00:00:00",107,711,940,2379
"2009-06-03 00:00:00",88,770,976,2285
"2009-06-04 00:00:00",95,749,942,2145
"2009-06-05 00:00:00",65,685,862,1872
"2009-06-06 00:00:00",50,426,709,1413
"2009-06-07 00:00:00",110,635,790,1611
"2009-06-08 00:00:00",111,735,1005,2389
"2009-06-09 00:00:00",144,740,887,2365
"2009-06-10 00:00:00",100,686,928,2268
"2009-06-11 00:00:00",76,650,846,2170
"2009-06-12 00:00:00",70,572,823,1807
"2009-06-13 00:00:00",53,474,724,1357
"2009-06-14 00:00:00",59,575,777,1577
"2009-06-15 00:00:00",66,676,887,2304
"2009-06-16 00:00:00",103,713,890,2259
"2009-06-17 00:00:00",59,680,964,2440
"2009-06-18 00:00:00",83,738,1021,2102
"2009-06-19 00:00:00",115,637,836,1834
"2009-06-20 00:00:00",58,593,801,1245
"2009-06-21 00:00:00",67,552,742,1572
"2009-06-22 00:00:00",117,723,915,2174
"2009-06-23 00:00:00",108,763,949,2172
"2009-06-24 00:00:00",117,671,1029,2157
"2009-06-25 00:00:00",93,662,977,2069
"2009-06-26 00:00:00",69,611,806,1585
"2009-06-27 00:00:00",42,612,635,1264
"2009-06-28 00:00:00",43,560,759,1435
"2009-06-29 00:00:00",86,867,861,1936
"2009-06-30 00:00:00",61,734,820,2027
"2009-07-01 00:00:00",77,805,895,1836
"2009-07-02 00:00:00",57,694,743,1875
"2009-07-03 00:00:00",52,581,822,1462
"2009-07-04 00:00:00",42,429,633,1100
"2009-07-05 00:00:00",60,476,726,1352
"2009-07-06 00:00:00",70,692,795,2005
"2009-07-07 00:00:00",77,719,869,1905
"2009-07-08 00:00:00",62,684,851,2032
"2009-07-09 00:00:00",106,711,809,1876
"2009-07-10 00:00:00",67,630,801,1699
"2009-07-11 00:00:00",46,444,670,1263
"2009-07-12 00:00:00",68,564,671,1493
"2009-07-13 00:00:00",70,665,829,2084
"2009-07-14 00:00:00",75,754,910,2073
"2009-07-15 00:00:00",83,627,837,2000
"2009-07-16 00:00:00",59,627,826,1780
"2009-07-17 00:00:00",48,631,743,1717
"2009-07-18 00:00:00",72,510,752,1331
"2009-07-19 00:00:00",79,558,693,1469
"2009-07-20 00:00:00",61,729,903,1970
"2009-07-21 00:00:00",65,687,941,2047
"2009-07-22 00:00:00",87,712,892,2025
"2009-07-23 00:00:00",60,751,943,1973
"2009-07-24 00:00:00",59,654,841,1553
"2009-07-25 00:00:00",56,528,694,1150
"2009-07-26 00:00:00",64,539,766,1452
"2009-07-27 00:00:00",82,724,906,2009
"2009-07-28 00:00:00",70,738,1046,2097
"2009-07-29 00:00:00",66,730,929,2109
"2009-07-30 00:00:00",65,670,880,2293
"2009-07-31 00:00:00",63,655,768,1724
"2009-08-01 00:00:00",47,485,731,1170
"2009-08-02 00:00:00",56,546,696,1396
"2009-08-03 00:00:00",62,669,875,2064
"2009-08-04 00:00:00",97,742,908,2151
"2009-08-05 00:00:00",86,634,922,1912
"2009-08-06 00:00:00",87,732,933,1925
"2009-08-07 00:00:00",71,669,910,1699
"2009-08-08 00:00:00",40,484,708,1214
"2009-08-09 00:00:00",68,538,717,1457
"2009-08-10 00:00:00",97,754,857,2173
"2009-08-11 00:00:00",105,712,832,2070
"2009-08-12 00:00:00",94,681,907,1994
"2009-08-13 00:00:00",67,646,813,1943
"2009-08-14 00:00:00",82,603,818,1601
"2009-08-15 00:00:00",51,460,778,1232
"2009-08-16 00:00:00",50,514,753,1428
"2009-08-17 00:00:00",71,709,964,1971
"2009-08-18 00:00:00",69,772,910,1983
"2009-08-19 00:00:00",86,773,865,2100
"2009-08-20 00:00:00",86,698,895,2094
"2009-08-21 00:00:00",76,707,887,1792
"2009-08-22 00:00:00",70,551,721,1318
"2009-08-23 00:00:00",47,550,740,1531
"2009-08-24 00:00:00",91,893,933,2110
"2009-08-25 00:00:00",70,773,1045,2491
"2009-08-26 00:00:00",96,822,1055,2473
"2009-08-27 00:00:00",84,811,980,2407
